iter	RMSE
0	66.27484255
1	61.13456056
2	56.71758899
3	52.62975842
4	49.10688807
5	46.01087018
6	43.22225929
7	40.78931193
8	38.58935405
9	36.7000315
10	35.03320007
11	33.62253026
12	32.42081803
13	31.29414435
14	30.37805922
15	29.55074138
16	28.76404562
17	28.14204289
18	27.57135166
19	27.05480213
20	26.61454991
21	26.18225694
22	25.85937744
23	25.52136301
24	25.23519543
25	24.95875314
26	24.71976953
27	24.50268868
28	24.35156419
29	24.15742324
30	23.99255982
31	23.85933929
32	23.74038813
33	23.62224184
34	23.49750776
35	23.34580173
36	23.23526663
37	23.12973378
38	23.0113272
39	22.89452969
40	22.79394815
41	22.7005467
42	22.61906949
43	22.53751267
44	22.48458434
45	22.42049265
46	22.34171113
47	22.26343261
48	22.20154223
49	22.13697427
50	22.09651861
51	22.05532786
52	21.99979473
53	21.947045
54	21.9209921
55	21.86566381
56	21.8036504
57	21.75341169
58	21.70588114
59	21.6614906
60	21.61031409
61	21.56260239
62	21.53074867
63	21.48163958
64	21.42919835
65	21.37290472
66	21.32336101
67	21.28885422
68	21.25467555
69	21.22524453
70	21.1813364
71	21.14856869
72	21.1123699
73	21.0479621
74	21.00165754
75	20.97936786
76	20.92879328
77	20.90863115
78	20.88208094
79	20.8534462
80	20.8117959
81	20.78391094
82	20.72007885
83	20.67761685
84	20.64723664
85	20.61322883
86	20.58347727
87	20.52655307
88	20.49652291
89	20.45555895
90	20.42055138
91	20.38840996
92	20.35033922
93	20.31791161
94	20.28336809
95	20.23188022
96	20.17431242
97	20.13304833
98	20.10970727
99	20.07855232
100	20.0472829
101	19.9954042
102	19.95189381
103	19.89276907
104	19.85408025
105	19.83828596
106	19.81963447
107	19.79195897
108	19.7573183
109	19.72732538
110	19.69963764
111	19.67128753
112	19.65124199
113	19.61983909
114	19.57198458
115	19.55437545
116	19.52176839
117	19.49361012
118	19.47771911
119	19.45057894
120	19.42783067
121	19.41313252
122	19.36798579
123	19.34640959
124	19.29612511
125	19.26252002
126	19.23915586
127	19.21046849
128	19.181084
129	19.16170519
130	19.10464311
131	19.08581064
132	19.06651193
133	19.03396965
134	18.99349387
135	18.97063003
136	18.93107897
137	18.91672812
138	18.8933428
139	18.86942574
140	18.84918555
141	18.81197658
142	18.77157692
143	18.75350382
144	18.72693176
145	18.69967405
146	18.66950038
147	18.65827573
148	18.61394616
149	18.59953059
150	18.57886324
151	18.53960581
152	18.51280038
153	18.49187137
154	18.47653514
155	18.43907566
156	18.41108203
157	18.38817599
158	18.37019825
159	18.35011824
160	18.33566806
161	18.30783593
162	18.28715081
163	18.25763908
164	18.22757563
165	18.19535356
166	18.17836635
167	18.15470434
168	18.13092934
169	18.11210958
170	18.1027965
171	18.08422476
172	18.06901331
173	18.0573568
174	18.01158257
175	17.98687101
176	17.97048562
177	17.94803907
178	17.93537702
179	17.9148825
180	17.88029291
181	17.86569446
182	17.83974136
183	17.82165558
184	17.81051904
185	17.77924028
186	17.75854142
187	17.746392
188	17.73451198
189	17.71616235
190	17.70058171
191	17.67955965
192	17.65723025
193	17.63836013
194	17.62813476
195	17.61319728
196	17.59901272
197	17.57837543
198	17.57297975
199	17.55169618
200	17.51943977
201	17.51517612
202	17.49935175
203	17.48690901
204	17.45185792
205	17.44367065
206	17.43247991
207	17.42634661
208	17.40128698
209	17.38299153
210	17.36640421
211	17.34983319
212	17.33858527
213	17.32329928
214	17.30771389
215	17.29593696
216	17.27932719
217	17.26648828
218	17.24233378
219	17.23861162
220	17.22762046
221	17.20813206
222	17.1987216
223	17.18727986
224	17.16704996
225	17.15705463
226	17.14512328
227	17.12481056
228	17.11465088
229	17.09721928
230	17.08036431
231	17.06191208
232	17.04414715
233	17.02272305
234	17.01903119
235	17.00681351
236	16.98101211
237	16.96183256
238	16.93916671
239	16.91235612
240	16.90160659
241	16.88735948
242	16.8567314
243	16.84288098
244	16.83818186
245	16.8305568
246	16.81422023
247	16.80138475
248	16.77746055
249	16.75714357
250	16.74313072
251	16.72090389
252	16.69741878
253	16.69096298
254	16.67190273
255	16.66015047
256	16.6499427
257	16.61997558
258	16.60260018
259	16.58968116
260	16.58099604
261	16.56560162
262	16.55183217
263	16.53743278
264	16.53001287
265	16.51849899
266	16.50864042
267	16.49816433
268	16.48809585
269	16.4794908
270	16.47272381
271	16.46269451
272	16.44971099
273	16.43509388
274	16.42123362
275	16.41012893
276	16.39450038
277	16.38275708
278	16.37312981
279	16.36096861
280	16.35344538
281	16.33365393
282	16.30906259
283	16.29091935
284	16.27798515
285	16.26551969
286	16.24737274
287	16.22935278
288	16.21593825
289	16.19434245
290	16.17435886
291	16.15366527
292	16.13370972
293	16.11318125
294	16.10220996
295	16.08699064
296	16.07272431
297	16.06090258
298	16.04439629
299	16.03482462
