iter	Passed	Remaining
0	243	72877
1	339	50610
2	446	44197
3	540	40029
4	642	37903
5	750	36787
6	842	35248
7	938	34261
8	1038	33563
9	1157	33561
10	1324	34792
11	1475	35403
12	1637	36142
13	1766	36078
14	1866	35468
15	1967	34927
16	2063	34349
17	2160	33846
18	2261	33450
19	2359	33028
20	2474	32870
21	2573	32520
22	2666	32114
23	2756	31694
24	2845	31305
25	2936	30951
26	3025	30592
27	3123	30342
28	3234	30227
29	3330	29977
30	3446	29905
31	3539	29644
32	3633	29402
33	3727	29158
34	3814	28881
35	3902	28620
36	4001	28443
37	4093	28223
38	4183	27998
39	4271	27766
40	4358	27533
41	4447	27319
42	4537	27118
43	4624	26908
44	4710	26691
45	4797	26488
46	4887	26310
47	4981	26154
48	5081	26030
49	5168	25841
50	5255	25661
51	5345	25491
52	5438	25344
53	5525	25171
54	5613	25006
55	5702	24844
56	5789	24683
57	5881	24541
58	5985	24449
59	6075	24303
60	6172	24183
61	6265	24052
62	6352	23896
63	6441	23752
64	6529	23607
65	6617	23463
66	6711	23339
67	6799	23199
68	6890	23067
69	6979	22932
70	7072	22810
71	7161	22677
72	7249	22543
73	7337	22410
74	7424	22274
75	7514	22147
76	7629	22095
77	7748	22052
78	7840	21932
79	7930	21810
80	8018	21680
81	8115	21574
82	8219	21488
83	8308	21364
84	8398	21243
85	8486	21118
86	8576	20996
87	8667	20880
88	8754	20755
89	8841	20629
90	8930	20511
91	9019	20390
92	9104	20265
93	9194	20148
94	9284	20034
95	9376	19925
96	9476	19833
97	9573	19732
98	9667	19628
99	9767	19534
100	9860	19427
101	9956	19327
102	10094	19306
103	10190	19204
104	10278	19088
105	10366	18973
106	10465	18877
107	10560	18773
108	10652	18665
109	10736	18544
110	10820	18424
111	10907	18309
112	10995	18196
113	11084	18084
114	11172	17973
115	11263	17866
116	11350	17753
117	11441	17646
118	11530	17538
119	11620	17430
120	11714	17329
121	11809	17230
122	11900	17124
123	11991	17020
124	12079	16910
125	12167	16802
126	12255	16694
127	12341	16583
128	12425	16471
129	12517	16369
130	12603	16260
131	12689	16150
132	12778	16044
133	12868	15941
134	12956	15835
135	13045	15731
136	13145	15639
137	13236	15538
138	13324	15432
139	13410	15326
140	13498	15222
141	13584	15115
142	13673	15011
143	13762	14909
144	13852	14808
145	13945	14709
146	14040	14613
147	14126	14508
148	14217	14408
149	14311	14311
150	14403	14212
151	14492	14111
152	14586	14014
153	14673	13911
154	14756	13804
155	14852	13710
156	14950	13617
157	15043	13520
158	15187	13468
159	15295	13383
160	15385	13282
161	15474	13182
162	15564	13081
163	15653	12980
164	15744	12881
165	15830	12779
166	15920	12678
167	16011	12580
168	16104	12482
169	16199	12387
170	16294	12292
171	16406	12209
172	16529	12134
173	16617	12033
174	16704	11931
175	16784	11825
176	16875	11726
177	16965	11628
178	17054	11528
179	17146	11430
180	17235	11331
181	17322	11230
182	17410	11131
183	17510	11039
184	17603	10942
185	17690	10842
186	17777	10742
187	17863	10642
188	17952	10543
189	18042	10445
190	18130	10346
191	18233	10256
192	18320	10157
193	18408	10058
194	18500	9961
195	18596	9867
196	18697	9775
197	18816	9693
198	18898	9591
199	18986	9493
200	19080	9397
201	19174	9302
202	19265	9205
203	19357	9109
204	19447	9012
205	19535	8914
206	19622	8815
207	19709	8717
208	19811	8626
209	19919	8536
210	20016	8443
211	20116	8350
212	20222	8260
213	20325	8168
214	20422	8074
215	20520	7980
216	20620	7887
217	20711	7790
218	20811	7697
219	20902	7600
220	20992	7504
221	21088	7409
222	21188	7316
223	21287	7222
224	21390	7130
225	21490	7036
226	21587	6942
227	21682	6846
228	21773	6750
229	21864	6654
230	21958	6559
231	22049	6462
232	22139	6366
233	22237	6272
234	22365	6186
235	22456	6089
236	22550	5994
237	22643	5898
238	22736	5803
239	22826	5706
240	22919	5611
241	23007	5514
242	23108	5420
243	23198	5324
244	23292	5228
245	23385	5133
246	23478	5037
247	23577	4943
248	23671	4848
249	23764	4752
250	23857	4657
251	23962	4564
252	24059	4469
253	24149	4373
254	24241	4277
255	24335	4182
256	24424	4086
257	24521	3991
258	24620	3897
259	24707	3801
260	24800	3705
261	24889	3609
262	24981	3514
263	25071	3418
264	25162	3323
265	25262	3229
266	25369	3135
267	25469	3041
268	25560	2945
269	25651	2850
270	25749	2755
271	25841	2660
272	25929	2564
273	26030	2470
274	26127	2375
275	26226	2280
276	26325	2185
277	26422	2090
278	26518	1996
279	26613	1900
280	26708	1805
281	26808	1711
282	26904	1616
283	26998	1521
284	27096	1426
285	27194	1331
286	27293	1236
287	27410	1142
288	27507	1047
289	27602	951
290	27704	856
291	27803	761
292	27901	666
293	28000	571
294	28095	476
295	28193	380
296	28287	285
297	28385	190
298	28486	95
299	28574	0
